X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149
-1.248067,0.495639,-1.581838,0.665340,0.169415,-0.244450,1.429594,-0.563506,0.925959,1.427180,0.043572,-1.419230,1.103417,-1.645714,1.334967,-0.052774,0.239449,-0.555160,0.065352,1.290924,0.090098,-1.249442,0.227079,-0.475917,-1.050324,-0.326609,0.386462,-0.757522,0.203229,-1.012244,-1.151385,-0.262729,1.666455,-1.083869,0.570809,-0.729108,0.352652,1.259827,-1.925839,-0.809078,-0.331394,-0.578809,1.267614,0.066803,-0.000088,2.435993,0.666728,-0.524672,1.196023,-0.430676,1.373333,0.665212,-0.697572,1.070536,-0.249831,-0.475270,-1.074357,0.948838,-1.003185,0.548525,-0.281064,1.285486,-1.553246,1.182235,-0.595383,-1.012264,0.344898,0.991954,-0.005314,-0.467660,0.129692,-1.140389,0.784718,0.497849,-0.207560,-1.599313,0.141622,-0.485562,1.147560,-0.323498,2.357192,0.071190,1.007866,0.413260,-0.342723,-0.897105,0.002130,-1.435658,1.370375,-1.223909,-0.538454,0.365957,-0.419056,-0.164767,1.024810,0.767616,0.747961,1.232358,0.390739,0.144664,0.531882,-0.793260,-1.488462,-0.660737,-0.220955,-1.353025,-0.116454,-0.630323,0.164062,0.369761,1.835987,-0.738563,0.268039,0.015915,1.805999,0.280130,-0.085377,-0.470303,1.220651,0.944662,-1.031882,0.633347,-1.188512,0.863319,1.163889,-1.464930,0.035373,-0.687891,0.285082,0.098000,-0.195639,0.431528,-1.162181,-1.181404,-1.108469,-0.215909,-0.191772,-1.215616,2.122968,0.708114,0.143384,1.201132,-0.870826,0.832847,0.544044,0.699055,0.021554,0.878392,0.762808,0.282653
-0.145410,0.092815,1.500152,-0.397987,0.231261,0.991132,0.457230,0.568938,-0.060795,-1.010769,-0.714962,0.413450,-0.473216,0.698019,0.559855,0.245823,0.552437,0.263738,0.330111,-0.879859,0.992922,-0.346772,-0.577905,0.457270,2.920327,1.742266,-0.848814,0.772792,-0.225814,0.585418,1.813149,0.532668,-0.042847,3.001605,-1.353015,-0.800286,-1.215480,-0.844756,0.119481,0.697403,0.559283,-1.326846,-0.802276,-1.019185,0.297030,0.033515,-0.995247,-0.715813,-0.421849,0.614481,-1.995955,-1.205544,0.568737,-1.230576,-0.550615,0.216335,-1.490981,0.199677,0.078846,-1.342876,0.343249,-0.104676,0.365513,-0.535926,0.202936,0.169593,-1.291053,-0.516661,-0.867675,-0.199109,-0.381591,0.237946,-1.773099,0.289201,1.152300,0.053060,-1.153033,1.464103,0.356731,1.138326,-0.617533,0.727506,-0.108659,0.630550,0.245984,-0.794992,-1.665256,0.483571,-0.158374,-1.019893,-0.613522,0.381225,1.055857,0.054778,-0.422529,-1.182847,0.835255,1.036627,-0.938077,0.927910,-1.361257,-0.204164,0.940820,0.758454,0.944477,1.149885,0.293516,-1.646866,0.792438,0.649504,-0.505620,0.857989,-0.113918,-1.028760,-1.152490,-0.150441,-0.439713,0.504471,-1.026819,0.574584,1.013354,-1.067580,-0.515543,0.221699,-1.624729,1.257704,0.075185,0.303742,-0.854330,-0.908228,-1.077691,-1.396446,1.064975,0.720124,0.013020,-0.261318,1.246424,1.764804,-0.642357,-0.200516,-0.536070,-0.503861,1.567778,0.578797,0.650240,0.186161,-0.405340,-0.060595,-0.799249,-0.248208
0.516287,0.513737,1.704288,-0.619239,0.818800,0.919061,-1.015766,-0.725855,-0.261737,-0.479420,0.203517,-0.301794,-0.393622,1.386210,0.150314,0.167605,-0.980228,0.398121,-0.921420,-0.379005,0.213199,0.171450,1.070159,0.648138,1.206651,-0.422213,1.154924,0.477192,-0.103069,0.267391,1.255309,-0.817967,-1.488512,1.054776,1.274661,1.569605,-0.068982,-0.163592,1.691034,-0.323902,-0.462658,0.560679,-0.657679,0.032534,-0.348901,-0.064158,1.272081,-2.755829,0.319224,-1.470252,-0.737868,-0.279095,-0.090052,-1.332973,0.454510,1.304539,0.401868,0.211392,-0.849270,-0.546217,0.166426,0.336119,0.606920,-0.947919,-0.296811,0.364934,-1.351891,0.091866,-1.384876,-0.005128,-0.848399,0.801046,-0.987073,-0.579295,-0.176307,1.363029,0.062489,-0.023451,-1.387544,0.561688,-0.840843,-0.969284,0.375596,-0.414047,0.447570,0.446085,-0.258255,-0.713973,-1.464090,0.382904,-0.152376,1.024544,1.204788,0.383224,-0.220347,-0.342255,0.363998,-0.286390,0.225818,0.612624,-0.716540,0.487437,1.005051,-0.037119,0.412686,1.348561,0.264239,-0.214381,0.447262,-1.304496,0.447865,-0.225599,0.476383,0.589395,-0.538841,-0.755940,0.110228,0.508129,-1.024835,-0.567005,1.358491,-0.484056,1.265398,-0.375445,-0.818708,0.841315,0.644080,-0.803255,1.508599,1.379571,-0.048320,-1.950738,0.989605,1.568294,-0.718894,-0.752513,1.132418,0.694713,-0.611325,-0.986045,0.830532,0.317523,-0.861438,-0.201511,-0.267669,-0.344576,0.502335,0.574328,0.385693,-0.516546
-0.390015,0.328741,-0.320160,-0.198114,-1.084199,0.032320,0.751786,1.345668,0.480928,0.321961,0.692671,1.273771,0.141826,-0.368684,-1.021559,1.923982,0.557502,-0.146327,0.660115,0.933638,-0.737055,0.786609,0.460027,1.163419,0.370234,0.419857,-0.257789,0.952688,-0.872429,-0.385661,0.313754,0.889267,1.034267,-0.466192,-0.336672,-0.686624,-0.192140,1.566879,-0.202807,0.677189,1.797096,2.129141,-2.003804,-2.098087,0.712403,0.599386,-1.640800,0.699502,-0.385697,0.646986,-0.035461,-0.483100,-0.191433,0.618033,0.936948,-0.331376,0.922576,0.083650,0.555013,0.599425,-0.787603,0.635835,0.035325,1.667418,0.636312,-0.699826,-1.527362,0.939535,0.609406,0.549893,0.255450,-0.793385,-0.503355,-0.050132,-1.230658,-0.737404,0.082989,-1.197980,0.730811,0.480923,-0.266540,1.139284,-0.001009,0.216464,-0.006996,0.996113,-0.840701,1.068495,0.735648,-0.302853,0.731430,-0.990728,0.772261,1.003517,-0.188687,0.097137,-0.435114,-0.574733,-0.917960,0.444116,0.400492,-0.420954,0.332132,0.217813,1.384202,0.227431,-0.491073,0.514694,-0.022495,0.308716,0.247708,0.173601,-0.749001,0.427710,-0.238697,2.725449,1.865251,-1.741622,0.702843,-0.096228,-0.470608,-1.409974,0.620022,-2.110244,-0.233174,-0.410714,-0.956401,-1.316032,-0.757288,-0.832602,-1.917910,0.132800,-0.926452,1.134426,0.732149,-1.252792,-0.255115,-0.294708,0.085824,0.282458,-0.503151,-0.308521,-0.747666,0.314968,0.792294,0.021999,-0.586229,-0.226127,0.148680,-0.810526
-0.961912,-0.357405,-1.666689,-0.404548,-1.114130,0.757777,1.474579,0.565950,-0.981948,-0.361650,-0.419633,-0.682718,1.747848,-1.108608,1.879228,-1.289028,-0.062476,-0.416453,0.416835,0.310621,-0.276649,1.972667,0.367679,-0.717445,0.157515,1.405685,-0.180244,-0.049866,-1.447038,-0.551136,-1.562042,-1.447652,0.390039,0.145509,0.000784,-0.101110,0.053651,1.463181,-1.510958,-0.871709,-1.298826,0.641287,0.868660,0.282984,-0.354377,0.543574,0.716462,-0.449138,0.237759,-0.441131,0.715140,0.802347,-1.178404,0.058731,-1.348114,-0.280949,-0.841193,1.556776,1.204636,0.752013,0.287242,0.147390,-0.677833,1.565441,-0.897691,0.058582,0.255980,0.302421,-0.152395,1.893068,1.223035,0.220870,-1.048150,-0.095362,0.019158,-1.019655,0.408726,-0.844311,0.264876,0.156343,1.129615,-1.940569,0.052580,1.604718,-0.660848,0.436612,-0.119719,0.313684,1.541137,-1.316991,-0.030653,-0.268677,-0.970454,0.988198,-0.359744,-0.381175,1.260573,-0.592649,-0.069729,-0.218817,0.651318,0.012789,-0.524837,-0.268228,-0.519541,-0.333823,-0.013867,-1.344815,-0.381004,-0.109344,1.259461,-0.854857,-0.728677,0.641473,0.890127,0.761741,0.689975,-2.316846,0.452569,-0.677325,0.793581,0.761308,-1.607555,-0.450610,1.375219,0.522666,0.482548,-0.205549,0.454411,0.143388,-0.849891,-0.234734,-0.709142,-0.283863,-0.000461,-0.499612,0.618699,-1.714946,0.468434,0.673952,0.636788,0.401341,0.188243,0.246201,-0.354475,0.232295,-1.760249,-0.825640,-0.589242,-2.167717
-0.638914,-0.632058,0.775045,-1.483214,0.025323,-0.585104,-0.348427,-0.336566,-2.200233,-1.167897,0.353921,-0.474450,-0.556965,-0.528133,0.489220,0.356402,0.398583,-1.626446,-1.664706,0.937182,0.960138,2.138912,0.243752,0.079927,2.144628,-0.284173,-0.526238,1.021882,-0.446326,-0.578813,1.285613,-0.014071,-0.918403,1.259414,-0.316163,0.517434,0.019201,1.837775,1.002722,0.444467,-0.112062,-0.047448,0.272538,-1.257512,-0.813703,-0.521546,0.006717,-0.289907,1.410158,-1.005704,-0.966387,-1.518506,-1.115457,-0.623840,-2.135549,1.121822,-1.455714,0.581582,-0.612262,0.501776,0.136371,-1.913464,-1.605794,0.533336,-1.018304,-2.498098,1.511184,1.450659,0.219929,1.376545,-0.862813,-0.382869,-1.629407,0.809255,-0.917650,0.587195,-0.416377,0.211772,-0.681401,2.149449,-0.627235,-0.253627,-0.648076,-1.007754,0.916823,1.027707,-1.249640,0.147092,-0.400884,0.508468,0.052259,1.422833,0.554343,-0.781954,-0.580399,-0.389993,1.165729,0.031065,1.162556,-0.251921,-1.585964,0.525156,0.144151,0.940827,0.671190,2.197921,1.106459,-2.068278,0.990652,-0.620241,1.247774,-1.723133,0.557836,-0.470231,-0.508929,0.707307,0.729845,-0.175043,0.962014,0.377729,-0.086307,-1.516882,1.110091,0.778563,0.212654,0.139202,0.397700,-0.831602,-0.091322,0.483117,0.151519,-1.440545,1.490502,0.738781,0.624400,0.884201,1.280526,-0.091705,0.740167,-0.772868,1.508422,0.055290,0.068308,1.513089,0.855212,-0.456758,0.340966,1.168872,-0.434083,-0.192198
0.058551,-3.549468,0.027735,0.345205,-1.213846,0.789565,-2.426138,3.042118,-0.783442,-0.023023,-0.557405,1.177502,-1.454727,0.394782,0.382777,0.060912,-0.726371,-1.011828,1.211302,-0.284664,-0.145997,-0.016080,-1.104892,-0.529083,0.374422,1.502398,-2.188833,-2.162345,0.936253,1.733175,1.334292,0.069852,-0.968838,0.092089,-0.672521,-2.399763,-0.714294,-0.425898,1.044693,1.981179,0.950487,0.217778,-0.393365,-0.484288,-2.036722,-2.130271,-2.436809,2.969061,-0.365542,2.844702,-2.567675,-0.782189,-1.253449,-0.500342,-0.933469,-0.012869,-0.282695,-1.331157,1.726713,0.339110,2.468885,2.362395,1.693969,-1.588683,1.844790,0.414148,-1.219858,-0.344026,-0.087845,-1.284141,0.443299,0.874907,-0.695423,-2.205352,1.443749,1.149770,-1.672213,1.122133,-0.085281,0.314454,-1.813448,0.975461,-2.244940,-0.174152,-1.409415,-0.458601,0.181925,0.604781,-1.476546,1.389987,2.232342,-1.028671,-0.338050,-0.088299,0.612553,-0.604788,2.052586,0.777573,-1.925687,-0.105360,-0.691351,0.206677,0.579544,0.173599,-0.962384,0.039125,-3.117919,0.512336,-0.662288,-0.536806,-1.643640,1.368636,-0.941863,0.617995,-2.580979,-0.916243,0.396472,0.429927,-1.866965,-1.175190,0.334166,-1.967790,0.877414,-2.252619,-0.185840,0.761029,1.390813,1.983777,-2.265178,-2.336081,-2.572760,1.317276,1.263550,0.419247,0.073844,-3.040031,-0.411019,-0.284991,-2.253410,-0.945605,0.401518,-1.001511,2.824360,0.481528,-1.477328,-2.196111,-0.685161,-1.449601,-2.644880,-0.985217
-2.666530,-0.256085,-2.295838,2.893425,-3.171226,-1.689608,2.603291,-1.857947,0.586476,0.465794,-1.309474,-1.398880,1.237497,-3.208980,1.070681,-0.292253,-0.441039,-0.224346,2.219210,2.254087,-0.215610,-0.708391,-1.889698,-0.292548,1.065666,1.275671,2.110783,-0.266921,-0.508313,0.807461,-0.402254,1.448332,0.431171,0.102232,-2.422355,-1.228613,0.144178,0.345251,-2.260663,0.353714,-0.529937,1.395511,0.965824,0.325506,2.986825,0.458835,-0.142783,-1.515154,-1.064032,0.621375,1.633586,1.195732,0.144172,0.937098,1.800053,-3.446251,0.079060,-1.503394,2.523663,0.626918,-0.040152,-0.216906,0.175527,1.626999,1.699926,-1.334261,0.686176,-0.416904,1.669457,-1.100581,0.970819,-2.023669,0.571776,2.891148,2.065347,-2.005565,1.813719,1.212780,3.425858,0.685523,2.654614,0.084811,2.745870,2.757115,-2.812231,-2.690599,-1.302073,-0.384540,1.326397,-3.381229,-1.969161,-0.901717,-0.553539,2.131742,0.458477,2.277578,-0.515840,2.198019,-1.419554,1.242880,1.446748,1.303468,-2.533678,-0.821466,0.616201,-2.184098,-0.320286,0.968037,-1.992132,2.599425,2.162398,-0.524394,-2.980803,-3.132234,1.043543,1.239781,3.139855,-0.382398,0.571248,2.155314,-1.590140,-0.314518,-2.219059,2.004539,1.206733,-2.135682,-0.297707,-0.110478,-0.853995,-0.004300,-1.233518,0.141915,-1.987904,-1.469019,-0.667669,1.457550,-3.465128,-1.621418,-0.196352,3.219988,-0.311043,-0.130366,-2.074162,-0.294587,1.877939,1.622474,-2.784296,-1.495305,-0.513876,-2.437277
0.926766,-0.210896,-0.152610,0.207028,-0.260332,2.306919,-0.682001,0.553847,1.579881,-0.456526,-1.375426,-0.159438,-0.445479,-0.439551,-0.880498,-2.804467,-0.673206,0.987362,0.679173,-0.548753,0.592969,-0.688512,0.996004,-0.529071,1.218813,-0.273497,0.296155,-0.400530,-0.006449,0.023940,1.006875,0.985956,-1.612866,0.041517,0.352957,-0.489373,-0.217888,-2.309558,-0.231767,-0.036101,0.045918,0.377016,0.853811,1.342318,0.613259,0.571785,0.152814,-0.586580,-1.345763,0.787452,0.116507,0.164481,0.609586,-0.928502,-0.438007,-0.462868,2.521892,-0.342808,1.751538,-1.315258,-0.238344,1.321994,1.007160,-0.892120,-0.173719,2.021197,0.936903,-1.692473,2.291367,-0.018181,0.593293,-1.854319,0.394490,0.713445,0.830286,-0.132266,0.830439,0.058066,-0.666398,0.707940,-0.953974,-0.792694,0.000344,0.278565,-1.539703,-2.011766,0.696658,-0.194265,-1.559026,0.457988,0.435201,1.136167,-0.130272,1.310373,-1.597678,1.221654,-1.254234,-0.860860,-0.480165,-0.211534,0.185717,0.887825,-0.010122,0.394024,0.024842,-0.034584,-1.437513,-0.473708,-1.478985,-0.553261,-1.555315,1.682018,-1.390995,-0.031875,0.239727,-1.215978,1.519085,0.940403,-0.902864,-0.615094,1.816528,-0.018095,0.666566,-0.673930,0.430348,-0.118423,-0.062266,1.378261,0.038738,0.400549,0.100592,1.029421,0.245820,-1.756665,-1.271753,-0.792156,-0.326246,0.003906,-1.817351,0.673625,-0.789608,-0.232288,0.851975,-1.362300,0.213430,-0.464294,-0.264266,-1.251648,0.348648,-0.707135
0.142987,-0.251449,-0.138159,0.093783,-0.612867,1.611012,0.273219,0.361799,1.549901,-0.736010,-0.403157,-0.167633,-0.511205,-0.466502,-1.534447,0.415632,-0.698639,-0.103204,1.266838,0.278326,0.144331,0.721898,-0.079266,-0.138655,1.060837,0.275871,0.257919,0.817266,-0.661230,-0.608496,0.582752,1.053836,-1.138615,0.228541,-0.594612,-0.454523,1.304365,-1.062708,0.628694,-0.087779,0.197952,1.624600,0.368561,0.756384,0.770753,-1.073968,-0.259775,1.185595,-0.579550,0.171342,0.373266,0.043450,-0.092890,-0.711659,-0.604306,-1.245243,1.798554,0.034464,-0.448390,0.105879,-0.710418,0.009989,-0.065916,-0.233287,-0.418803,0.709352,2.227844,-0.762141,1.206963,-0.437703,0.492881,-0.010470,0.943350,1.139271,-0.000961,-0.955408,0.287073,0.242483,0.357318,0.192694,0.088950,0.069627,0.684685,-0.145972,-0.188155,-1.203815,-0.171712,-0.647481,-1.328264,-0.266373,0.316860,-1.559087,-0.269772,1.619615,0.271526,-0.435179,-1.596404,0.767852,-0.370860,-0.537795,0.331488,0.316407,-0.829017,0.414389,0.669997,-0.779950,-0.621348,0.198753,-0.319210,0.984458,0.208862,0.172143,-0.716034,-2.238610,1.126399,-0.559135,0.909985,1.599472,0.073874,0.655662,0.152185,0.198542,0.538808,1.008712,0.550299,-0.576354,-0.740942,0.803698,-0.358843,0.392588,0.844360,2.120689,0.058707,-0.374092,0.595661,0.401122,-1.415541,-0.449816,-0.740986,0.741896,-0.750381,-1.630974,-0.507852,-0.231041,0.818203,0.271469,-1.237935,-0.388008,-0.273450,0.431482
